"","Country.code","Year","Region.code","Agriculture","Mining","Manufacturing","Utilities","Construction","Trade..restaurants.and.hotels","Transport..storage.and.communication","Finance..insurance..real.estate.and.business.services","Government.services","Community..social.and.personal.services","Summation.of.sector.GDP"
"175","BRA",2000,"LAM",6.41042226803072,186.075487320086,40.2675926210788,242.035549314908,22.1908893724752,18.1092719173943,50.7039855321295,38.6146970447743,40.2789910516694,8.2521067422759,24.5465304549749
"176","BRA",2001,"LAM",6.69451494782044,180.508619454928,38.7867444134461,205.485331088101,20.4258359338722,16.5188821272003,47.4581907272744,37.4818260849955,38.7590752422637,7.4805324656122,23.3883054762962
"177","BRA",2002,"LAM",6.42598778897025,176.494908621528,35.4105307365008,204.022607914388,17.6543061713612,14.601175063908,41.1767237882374,34.9989566617937,35.6443477446433,7.15752636703457,21.4151276281509
"178","BRA",2003,"LAM",5.97250306990186,161.903297563715,30.790804679853,182.143449626769,15.8284623632268,12.4756384953657,35.7567598288606,30.1769112013288,32.4621907960202,6.2307563109732,18.8997117490157
"179","BRA",2004,"LAM",5.45289369686123,148.671794828556,29.9559115662051,181.230307359274,15.5001552577636,12.7279766834148,33.682932256268,27.7117416906947,30.0021041529346,6.05169033126873,18.1194733814005
"180","BRA",2005,"LAM",5.22460591086562,155.006607748487,26.9227905413354,178.436565277321,14.4874179668919,12.2096982690347,31.0494071209968,28.0593155483279,28.6958254878686,6.11573002440528,17.3890601767446
"181","BRA",2006,"LAM",5.45201012143076,159.097250563309,26.449205135574,174.542272992957,14.4911237358946,12.0088317922361,28.8245258438045,27.2816262061578,26.8460907565931,5.70064731845891,16.9874153100961
"182","BRA",2007,"LAM",5.76087463949978,146.599011830888,26.0358094877312,173.38578733404,13.9854190814279,12.1723993812087,27.6314322408678,28.0221970131319,26.9822566468236,5.37458009290996,17.0708678968927
"183","BRA",2008,"LAM",5.89412847317014,141.783948805655,23.7090360519704,161.054576627258,12.7356304311409,12.2091198730343,25.7704745522113,27.2489892625808,24.9507137141133,5.08387649219717,16.3700511828202
"184","BRA",2009,"LAM",5.48297905478309,128.45970139532,21.0336427582207,151.819477775996,11.9068217254079,11.1825115569372,24.837533795653,26.2517600819512,23.6142427793654,4.90245285149923,15.2517228971101
"185","BRA",2010,"LAM",5.43774726056746,130.946588159428,21.7663650572603,156.269271561523,11.2797916113355,10.892882027056,22.3049478960126,23.1347503792265,22.4228011729568,4.6148158985073,14.6766414887564
"186","BRA",2011,"LAM",5.43419233913614,125.313166370882,21.1114332639776,159.161972364006,10.2276384779541,10.1998599916473,19.9981958926984,20.6187870861382,21.6554994195875,4.45700357262279,13.8856774183852
"217","BWA",1990,"SSA",5.49657897250653,670.306289167106,66.7143341043365,58.3510218390339,40.0251601860633,82.4007664500963,61.5593254453038,89.0429575099519,50.8857990010842,25.7740243979305,54.7150711288477
"218","BWA",1991,"SSA",5.44863586222597,774.790676520557,59.8719598107549,51.7107996015333,37.1061074316421,66.7808040568373,63.0379271332978,91.437826596997,50.5970285331926,26.4299642407837,53.8448960930252
"219","BWA",1992,"SSA",5.15098565573197,641.009906333549,74.3847945934148,52.4308063492512,40.7290132612746,59.8939301359014,63.2948473045015,84.597814568927,51.8919286288745,27.3732357472689,52.9156135280474
"220","BWA",1993,"SSA",4.51419085882651,555.62266549321,65.0117867866426,55.7447557753887,32.3717101388597,49.4826555299142,76.6765810665426,83.5458488091504,44.7120537667243,26.239954732635,46.4893257253744
"221","BWA",1994,"SSA",3.92290031690724,544.405664302148,50.080319734597,71.5091099317911,35.6712757229626,50.3705352781514,86.8470014086383,88.7783167520536,41.241202196839,26.5680874247285,45.2319481388524
"222","BWA",1995,"SSA",4.41944267156258,550.329910654106,51.3929613738061,70.5590159003883,40.2235348738284,55.4720436359207,93.7284733159547,85.0582589541319,36.9317398461569,30.5400912930919,46.2458428678755
"223","BWA",1996,"SSA",3.70854195091236,425.448211695533,54.0833808143558,61.2105331901654,37.386278441883,58.6767638424244,73.9571710930557,79.402552586008,31.7300978387023,32.9147549240046,41.5161984887466
"224","BWA",1997,"SSA",3.09443802736333,457.982980014041,56.7773267864302,62.9161385802082,46.7881823061652,62.4241123315361,91.5496173665714,85.5751603668844,32.8571972051427,35.8193158307538,42.4131035241536
"225","BWA",1998,"SSA",2.51499922064284,397.992688840658,56.0817434852433,65.9098693972246,33.3487701013352,53.7487448462814,78.3793041480509,85.1174459078141,27.9572644214954,31.9158151360434,36.1742314750746
"226","BWA",1999,"SSA",2.40855825546568,378.884967481077,42.3250641544931,79.293527296915,29.6904832597557,51.9781489616581,66.3826487139849,71.2454321802564,26.1303305833192,30.0814046983305,33.378434758601
"227","BWA",2000,"SSA",1.90548481446248,389.931145577271,34.2501034947619,75.9959161633684,21.4288498792905,37.2075650967036,53.0119775994964,62.7301518521245,23.0369569517552,26.4744715716867,29.4390937764712
"228","BWA",2001,"SSA",2.00384830044744,435.776405096296,30.5054930281489,77.9006126840778,16.2149495393112,29.7413475205222,47.7076149503636,60.7431329467823,21.8380786555769,23.0736321482598,27.41190632484
"229","BWA",2002,"SSA",1.57984510875002,487.858630879156,32.4344416825333,85.2236444993553,24.8657885222625,30.5471589401308,48.8272128800511,64.9999720972019,23.5837861579612,24.6247857355749,29.9412085287828
"230","BWA",2003,"SSA",1.8517390251512,513.841686010903,30.3090694437775,89.8210379136765,22.1775881286809,30.2659018177227,49.9672980089805,63.5384287901672,24.4372992595636,24.6307279664761,30.3303627731875
"231","BWA",2004,"SSA",1.71155071293399,438.792082993924,25.1522206508417,85.9057782491802,24.6797791639882,26.9169398965707,38.6770359085676,56.1949757357168,24.2309451288301,35.3535318179319,28.7470307069563
