"","Country.code","Year","Region.code","Agriculture","Mining","Manufacturing","Utilities","Construction","Trade..restaurants.and.hotels","Transport..storage.and.communication","Finance..insurance..real.estate.and.business.services","Government.services","Community..social.and.personal.services","Summation.of.sector.GDP"
"114","BOL",2001,"LAM",3.82552834920655,42.6310869990485,10.1957119693725,75.1871022910908,3.79237647704725,4.29725188402745,17.4136695492836,23.8457529418418,NA,8.74782406039364,7.82157799136341
"115","BOL",2002,"LAM",4.00486517628798,56.1956903942862,8.43152163210286,114.990025431083,4.01388318251306,4.4112330976101,18.7141200001678,28.7397722963346,NA,8.75152018496208,7.88076628866911
"116","BOL",2003,"LAM",5.3107817860352,32.0350063779903,8.7159254580918,69.7059277301333,2.48918570964291,3.84472500908046,19.2392996510988,25.4321961017617,NA,8.75997865727346,8.03347540338071
"117","BOL",2004,"LAM",5.30999040354107,40.311201949406,8.59522309026397,65.1679391465891,2.30390914107586,3.86954577979023,18.5675499308013,22.3254541837541,NA,8.62684961611945,8.02522872145559
"118","BOL",2005,"LAM",4.48502668112407,57.7934842917963,8.61278300826908,70.6812299178415,2.63984989069317,4.4703918075426,15.1299625518841,21.1528588875955,NA,8.92848796827996,8.1236475355493
"119","BOL",2006,"LAM",4.235771411694,97.6777510432386,9.10134697955072,73.4819890644608,3.55075830717863,4.57406373450132,15.4704090665571,14.814972871455,NA,8.00609577210646,8.22871030111002
"120","BOL",2007,"LAM",4.50460320182219,84.9215594682327,9.28114827161422,64.5825205670712,3.04778876636758,5.11170710935741,14.3999793060352,17.766634231799,NA,7.59801713891953,8.4689391268691
"121","BOL",2008,"LAM",5.15892204225258,131.055092163794,9.63397943812152,53.7021693840244,3.12069545633045,4.48966096097053,11.3056742602511,19.6767342596192,NA,8.64590467046624,8.82359415516416
"122","BOL",2009,"LAM",6.14362233704582,150.294909854645,9.98585786990402,76.9708112798455,3.13972800617295,5.17891408390743,12.9949124146902,17.3807362163168,NA,8.78162217080303,9.39719719856023
"123","BOL",2010,"LAM",6.66617939109467,193.891806761638,9.80510831988976,104.324025854698,3.23823348439383,5.78343893143099,14.1645354259159,9.90209950007807,NA,7.97728173238731,9.49233726261373
"165","BRA",1990,"LAM",4.58937907536862,0,16.4957704844478,0,0,14.6175322682025,32.2028003555189,27.8491024234289,22.2987316481439,0,12.1017612903382
"166","BRA",1991,"LAM",2.70787840976049,55.6445868945869,19.2299085915036,39.8190621814475,7.38456448792476,11.5846933763357,19.7360111153215,19.5949335339855,22.2835465423067,6.37572938344147,12.1569597719393
"167","BRA",1992,"LAM",2.53280046678635,50.9273808143112,21.9267684161153,72.506779464443,10.5699064332857,11.6404643338605,21.5973059530718,36.3649205620324,21.6994926947935,5.55269730021337,13.8296116061982
"168","BRA",1993,"LAM",2.72711619062308,41.0705805902207,26.2727691269793,74.8880785155018,11.9774246102932,12.1560684855822,23.2627259777378,51.1232163467362,23.2963577689891,6.40613233736621,16.2212117169069
"169","BRA",1994,"LAM",3.74295163643512,40.4944200436497,24.996924595232,83.9881604408076,14.0533819912668,12.4520027858904,21.2320329744458,25.3941756048472,25.1270159961378,5.82921360319219,14.4394280300701
"170","BRA",1995,"LAM",3.45459068934363,35.8734118086797,22.3224432825318,82.2333178916433,14.3246672648078,11.2899354361432,20.2514207998946,12.5456474054118,26.5177866976369,5.7326770307685,12.767088684194
